"Time (s)","Pressure (hPa)"
3.554169625E1,1.000587585E3
3.558169490E1,1.000604004E3
3.562168375E1,1.000596191E3
3.566169323E1,1.000578979E3
3.570163979E1,1.000536987E3
3.574170646E1,1.000562134E3
3.578169354E1,1.000583069E3
3.582162312E1,1.000571533E3
3.586171333E1,1.000579468E3
3.590163979E1,1.000583679E3
3.594166094E1,1.000586792E3
3.598165740E1,1.000616516E3
3.602170125E1,1.000590088E3
3.606169760E1,1.000611694E3
3.610164292E1,1.000593994E3
3.614163208E1,1.000593384E3
3.618164854E1,1.000563049E3
3.622164917E1,1.000564941E3
3.626164557E1,1.000521667E3
3.630164240E1,1.000487000E3
3.634164302E1,1.000560730E3
3.638165614E1,1.000602295E3
3.642164724E1,1.000610596E3
3.646164708E1,1.000593994E3
3.650171333E1,1.000599487E3
3.654168240E1,1.000599487E3
3.658170062E1,1.000620728E3
3.662163781E1,1.000632263E3
3.666165344E1,1.000573547E3
3.670164083E1,1.000592773E3
3.674162099E1,1.000608215E3
3.678169948E1,1.000555908E3
3.682165281E1,1.000538086E3
3.686165740E1,1.000534973E3
3.690164062E1,1.000504150E3
3.694164375E1,1.000530701E3
3.698163740E1,1.000533875E3
3.702164094E1,1.000526978E3
3.706170187E1,1.000581482E3
3.710170031E1,1.000615417E3
3.714163364E1,1.000595581E3
3.718165073E1,1.000568359E3
3.722165896E1,1.000578064E3
3.726168677E1,1.000581482E3
3.730164115E1,1.000552734E3
3.734163312E1,1.000556641E3
3.738170708E1,1.000573547E3
3.742169281E1,1.000595581E3
3.746169406E1,1.000616333E3
3.750168229E1,1.000636841E3
3.754169156E1,1.000653564E3
3.758169890E1,1.000643250E3
3.762169187E1,1.000649475E3
3.766168354E1,1.000669006E3
3.770168896E1,1.000658569E3
3.774163896E1,1.000658203E3
3.778170948E1,1.000674927E3
3.782168750E1,1.000657593E3
3.786171057E1,1.000632751E3
3.790164099E1,1.000654663E3
3.794162375E1,1.000642151E3
3.798161792E1,1.000653992E3
3.802163698E1,1.000659180E3
3.806168604E1,1.000631226E3
3.810168417E1,1.000628540E3
3.814164500E1,1.000635742E3
3.818164562E1,1.000625732E3
3.822163417E1,1.000613220E3
3.826165656E1,1.000613220E3
3.830164448E1,1.000621033E3
3.834170114E1,1.000606201E3
3.838169365E1,1.000569031E3
3.842169349E1,1.000580261E3
3.846170031E1,1.000590393E3
3.850168240E1,1.000597290E3
3.854167937E1,1.000604919E3
3.858173323E1,1.000617310E3
3.862169698E1,1.000637573E3
3.866170500E1,1.000638367E3
3.870171656E1,1.000621643E3
3.874161927E1,1.000590698E3
3.878169167E1,1.000605103E3
3.882168687E1,1.000596497E3
3.886170562E1,1.000557922E3
3.890163615E1,1.000554016E3
3.894163432E1,1.000579956E3
3.898164312E1,1.000583862E3
3.902163917E1,1.000593872E3
3.906169792E1,1.000590271E3
3.910166432E1,1.000591370E3
3.914164417E1,1.000605713E3
3.918164042E1,1.000617737E3
3.922165615E1,1.000605103E3
3.926169390E1,1.000597107E3
3.930165333E1,1.000623413E3
3.934164562E1,1.000595703E3
3.938167896E1,1.000538086E3
3.942168542E1,1.000534180E3
3.946169198E1,1.000552429E3
3.950169625E1,1.000498047E3
3.954163531E1,1.000456970E3
3.958170781E1,1.000532776E3
3.962163781E1,1.000562134E3
3.966171375E1,1.000600281E3
3.970169365E1,1.000619507E3
3.974169469E1,1.000612732E3
3.978170177E1,1.000613220E3
3.982170750E1,1.000631042E3
3.986170427E1,1.000607422E3
3.990164208E1,1.000580750E3
3.994164864E1,1.000594482E3
3.998165010E1,1.000604004E3
4.002166557E1,1.000549805E3
4.006171349E1,1.000578857E3
4.010170792E1,1.000588684E3
4.014165208E1,1.000591370E3
4.018166875E1,1.000610901E3
4.022164146E1,1.000605286E3
4.026164375E1,1.000590698E3
4.030163562E1,1.000602783E3
4.034163042E1,1.000599609E3
4.038162615E1,1.000604492E3
4.042163677E1,1.000571045E3
4.046164052E1,1.000535706E3
4.050163896E1,1.000565247E3
4.054162974E1,1.000575073E3
4.058162667E1,1.000571960E3
4.062163979E1,1.000583679E3
4.066163104E1,1.000603394E3
4.070163875E1,1.000623413E3
4.074162240E1,1.000640564E3
4.078163156E1,1.000597290E3
4.082163167E1,1.000574768E3
4.086163646E1,1.000594604E3
4.090163073E1,1.000550232E3
4.094164417E1,1.000534180E3
4.098163948E1,1.000540100E3
4.102163094E1,1.000547607E3
4.106163562E1,1.000567261E3
4.110164042E1,1.000554932E3
4.114163229E1,1.000573364E3
4.118162948E1,1.000603394E3
4.122164594E1,1.000573547E3
4.126163354E1,1.000551331E3
4.130163073E1,1.000528198E3
4.134163198E1,1.000550415E3
4.138163312E1,1.000554321E3
4.142164510E1,1.000574036E3
4.146164557E1,1.000526062E3
4.150163406E1,1.000529175E3
4.154163562E1,1.000551819E3
4.158164781E1,1.000567932E3
4.162163396E1,1.000543213E3
4.166164104E1,1.000541199E3
4.170164250E1,1.000555237E3
4.174164448E1,1.000582275E3
4.178163458E1,1.000571350E3
4.182164750E1,1.000547729E3
4.186165307E1,1.000560547E3
4.190163396E1,1.000560242E3
4.194163516E1,1.000540588E3
4.198163406E1,1.000562439E3
4.202162948E1,1.000540710E3
4.206163229E1,1.000546326E3
4.210162646E1,1.000560120E3
4.214162958E1,1.000552002E3
4.218162740E1,1.000570129E3
4.222164937E1,1.000571533E3
4.226166562E1,1.000560547E3
