Time (s),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m)
34.06594735,42.99916997,-78.77727471,217.33708320,1.40999997,359.89999390,4.63645744,5.20706749
35.06649433,42.99917871,-78.77727715,217.01722090,0.69000000,357.20001220,4.85590506,5.30735874
36.06620359,42.99918470,-78.77728552,217.00637420,1.16999996,330.60000610,4.77354050,5.20415640
37.06645666,42.99918716,-78.77729863,217.39139350,0.99000001,285.39999390,5.14034510,5.47138596
38.06662661,42.99918374,-78.77731543,217.05362050,1.29999995,265.00000000,5.07904959,5.39823484
39.06604030,42.99917819,-78.77733272,216.77095680,1.29999995,259.00000000,5.32673931,5.59523964
40.06640394,42.99917288,-78.77735067,216.66792040,1.44000006,264.00000000,5.17143679,5.41271353
41.06646435,42.99916877,-78.77737025,216.34699190,1.49000001,267.79998780,5.06883717,5.26848459
42.06571747,42.99916517,-78.77738829,215.15796140,1.45000005,269.89999390,4.82558012,4.98381329
43.06670533,42.99916153,-78.77740601,214.67980710,1.48000002,267.79998780,5.15284395,5.09541369
44.06593101,42.99915821,-78.77742465,214.55095810,1.50000000,267.29998780,4.93339300,4.98018026
45.06620376,42.99915464,-78.77744260,213.56816530,1.47000003,266.89999390,4.78678894,4.82611656
46.06600006,42.99915166,-78.77746096,213.43699780,1.50000000,269.29998780,4.94569159,4.96299267
47.06619141,42.99914878,-78.77747977,212.81107960,1.52999997,269.50000000,4.77002716,4.79475355
48.06596844,42.99914588,-78.77749833,212.36558130,1.50999999,269.70001220,4.62101746,4.64959478
49.06569223,42.99914366,-78.77751723,211.88913990,1.49000001,270.20001220,4.73127365,4.75358677
50.06600801,42.99914170,-78.77753625,211.47202540,1.44000006,270.20001220,4.74218321,4.76128149
51.06642426,42.99913991,-78.77755426,211.08909080,1.34000003,269.70001220,4.76012230,4.76682758
52.06578357,42.99913789,-78.77757038,211.27152380,1.15999997,266.70001220,4.83730602,4.82246923
53.06583914,42.99913555,-78.77757872,211.44833880,0.30000001,259.39999390,4.87578630,4.84774637
54.06665914,42.99913324,-78.77757962,210.39706350,0.16000000,246.10000610,4.94913817,4.89575958
55.06625752,42.99912694,-78.77757734,209.75752040,0.80000001,175.69999690,4.94621801,4.87497902
56.06601345,42.99911559,-78.77757042,209.15647640,1.29999995,157.60000610,4.83262014,4.74565983
57.06595116,42.99910239,-78.77755985,208.48145210,1.38999999,154.19999690,4.66687918,4.58438826
58.06584626,42.99908919,-78.77754791,207.74429360,1.44000006,152.39999390,4.71336174,4.61077356
59.06590365,42.99907624,-78.77753615,207.20989470,1.45000005,152.50000000,4.71348476,4.60858870
60.06609953,42.99906321,-78.77752382,206.75148410,1.50000000,151.19999690,4.71232128,4.59444332
61.06641598,42.99905028,-78.77751136,206.40049570,1.47000003,150.00000000,4.71679592,4.59522295
62.06602754,42.99903713,-78.77749840,205.97290740,1.50000000,148.80000310,4.71573210,4.58660460
63.06623550,42.99902418,-78.77748537,205.50686750,1.49000001,149.39999390,4.71241856,4.58100891
64.06634347,42.99901087,-78.77747307,205.16393480,1.52999997,150.60000610,4.70461273,4.56625795
65.06636956,42.99899755,-78.77746153,204.28132930,1.48000002,150.89999390,4.55868006,4.45654726
66.06628538,42.99898477,-78.77744996,203.70170380,1.47000003,149.10000610,4.52124500,4.42967939
67.06618455,42.99897170,-78.77743884,202.88928950,1.50999999,148.19999690,4.34717369,4.27039814
68.06609741,42.99895853,-78.77742848,202.15609890,1.47000003,148.60000610,4.27242184,4.18019056
69.06588443,42.99894507,-78.77741839,201.40203350,1.51999998,150.00000000,4.22066021,4.06755924
70.06567037,42.99893175,-78.77740838,201.09816380,1.50000000,149.89999390,4.13739777,3.91542459
71.06648500,42.99891911,-78.77739911,200.63987710,1.40999997,149.50000000,3.98607922,3.67382217
72.06611369,42.99890600,-78.77739039,199.86164300,1.50000000,149.80000310,3.86152029,3.51463103
73.06604207,42.99889270,-78.77738091,199.35397710,1.53999996,149.69999690,3.79009247,3.24823213
74.06627259,42.99887953,-78.77737208,198.90270820,1.51999998,150.69999690,3.79009247,3.20327067
75.06630040,42.99886661,-78.77736225,198.58754810,1.51999998,150.19999690,3.79009247,2.98772574
76.06568076,42.99885448,-78.77735270,198.20055170,1.48000002,150.69999690,3.79009247,3.07887721
77.06631924,42.99884176,-78.77734309,198.01673980,1.48000002,151.19999690,3.79009247,3.00646019
78.06664054,42.99882841,-78.77733368,197.84702540,1.50000000,152.69999690,3.79009247,2.75016832
79.06661585,42.99881518,-78.77732475,197.52777540,1.50999999,151.89999390,3.79009247,2.70960283
80.06589261,42.99880246,-78.77731542,197.40365590,1.51999998,149.69999690,3.79009247,2.71587229
81.06606250,42.99878946,-78.77730572,196.99383010,1.50999999,149.69999690,3.79009247,2.56203079
82.06586562,42.99877686,-78.77729667,197.04329500,1.55999994,151.69999690,3.79009247,2.50000000
83.06656562,42.99876512,-78.77728749,196.87541590,1.49000001,151.30000310,3.79009247,2.50000000
84.06570265,42.99875414,-78.77727784,196.54500200,1.41999996,148.69999690,3.79009247,2.50000000
85.06634926,42.99874363,-78.77726734,196.23863700,1.48000002,145.60000610,3.79009247,2.50000000
86.06650305,42.99873237,-78.77725692,195.92268750,1.50999999,148.39999390,3.79009247,2.50000000
87.06669456,42.99872026,-78.77724737,195.58525170,1.54999995,152.60000610,3.79009247,2.50000000
88.06593654,42.99870722,-78.77723960,195.19953510,1.46000004,157.60000610,3.79009247,2.50000000
89.06621518,42.99869473,-78.77723437,195.44370340,1.40999997,160.80000310,3.79009247,2.50000000
90.06639861,42.99868544,-78.77722955,195.08106850,0.91000003,157.30000310,3.79009247,2.50000000
91.06567064,42.99868182,-78.77722621,194.90942750,0.23000000,150.50000000,3.79009247,2.50000000
92.06606162,42.99868162,-78.77722522,195.31756890,0.00000000,NaN,3.79009247,2.50000000
