"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.458480699E1,4.299852333E1,-7.879173833E1,1.832047438E2,1.343425035E0,2.012100067E2,1.500000000E0,6.900000095E0
9.558480699E1,4.299851667E1,-7.879173667E1,1.832047263E2,1.279084682E0,1.476600037E2,1.500000000E0,6.699999809E0
9.658480699E1,4.299852000E1,-7.879172667E1,1.828047323E2,1.233789206E0,9.198000336E1,1.500000000E0,6.699999809E0
9.758480699E1,4.299851833E1,-7.879171333E1,1.825047247E2,1.177169681E0,1.661799927E2,1.500000000E0,6.400000095E0
9.858480699E1,4.299851667E1,-7.879170667E1,1.823047187E2,1.074225307E0,9.915000153E1,1.399999976E0,6.300000191E0
9.958480699E1,4.299851833E1,-7.879169167E1,1.820047192E2,1.071651697E0,8.811000061E1,1.399999976E0,6.400000095E0
1.005848070E2,4.299852167E1,-7.879167333E1,1.819047231E2,1.003193617E0,7.833000183E1,1.500000000E0,6.400000095E0
1.015848070E2,4.299852333E1,-7.879166000E1,1.815047240E2,9.496625066E-1,9.337999725E1,1.500000000E0,6.599999905E0
1.025848070E2,4.299852333E1,-7.879164667E1,1.812047206E2,9.440005422E-1,8.652999878E1,1.500000000E0,6.900000095E0
1.035848070E2,4.299852667E1,-7.879163000E1,1.812047249E2,9.326766729E-1,8.251000214E1,1.500000000E0,6.699999809E0
1.045848070E2,4.299852667E1,-7.879161333E1,1.809047207E2,9.512066841E-1,9.291000366E1,1.500000000E0,6.599999905E0
1.055848070E2,4.299852500E1,-7.879159500E1,1.811047118E2,1.030988574E0,8.969999695E1,1.500000000E0,6.599999905E0
1.065848070E2,4.299852333E1,-7.879157833E1,1.810047033E2,1.073710561E0,9.641000366E1,1.500000000E0,6.599999905E0
1.075848070E2,4.299852333E1,-7.879156333E1,1.809046995E2,1.119520783E0,8.887999725E1,1.500000000E0,6.699999809E0
1.085848070E2,4.299852500E1,-7.879154833E1,1.811047000E2,1.168934226E0,8.900000000E1,1.500000000E0,6.500000000E0
1.095848070E2,4.299852667E1,-7.879153333E1,1.812047004E2,1.166875243E0,9.298000336E1,1.500000000E0,6.500000000E0
1.105848070E2,4.299852833E1,-7.879151667E1,1.813047005E2,1.205994129E0,7.980000305E1,1.500000000E0,6.500000000E0
1.115848070E2,4.299853000E1,-7.879150167E1,1.811047010E2,1.266731381E0,7.384999847E1,1.500000000E0,6.699999809E0
1.125848070E2,4.299853000E1,-7.879148667E1,1.810046972E2,1.233274460E0,9.226999664E1,1.500000000E0,6.800000191E0
