"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
9.202762702E1,4.299860333E1,-7.879136333E1,1.854048534E2,1.282173038E0,1.931799927E2,1.600000024E0,9.899999619E0
9.302762702E1,4.299859167E1,-7.879136667E1,1.854048245E2,1.284746647E0,1.977400055E2,1.600000024E0,1.000000000E1
9.402762702E1,4.299857833E1,-7.879137333E1,1.853047921E2,1.270334482E0,2.025099945E2,1.700000048E0,1.019999981E1
9.502762702E1,4.299856500E1,-7.879137833E1,1.851047592E2,1.269819736E0,2.033699951E2,1.700000048E0,1.039999962E1
9.602762702E1,4.299855167E1,-7.879138333E1,1.851047264E2,1.269304991E0,2.128399963E2,1.600000024E0,1.030000019E1
9.702762702E1,4.299854333E1,-7.879139000E1,1.853047068E2,1.267246127E0,2.101499939E2,1.600000024E0,1.000000000E1
9.802762702E1,4.299853500E1,-7.879139667E1,1.856046872E2,1.250260234E0,2.152599945E2,1.600000024E0,9.899999619E0
9.902762702E1,4.299852833E1,-7.879140167E1,1.856046714E2,1.239965796E0,2.116600037E2,1.600000024E0,1.030000019E1
1.000276270E2,4.299851833E1,-7.879141000E1,1.854046480E2,1.215259194E0,2.125700073E2,1.600000024E0,9.699999809E0
1.010276270E2,4.299851000E1,-7.879141833E1,1.850046288E2,1.243054152E0,2.155599976E2,1.600000024E0,9.699999809E0
1.020276270E2,4.299850167E1,-7.879142667E1,1.848046096E2,1.246657252E0,2.144499969E2,1.700000048E0,1.000000000E1
1.030276270E2,4.299849333E1,-7.879143500E1,1.845045904E2,1.228127241E0,2.204700012E2,1.700000048E0,1.000000000E1
1.040276270E2,4.299848500E1,-7.879144500E1,1.843045716E2,1.250774980E0,2.068699951E2,1.700000048E0,1.010000038E1
1.050276270E2,4.299848167E1,-7.879145833E1,1.840045665E2,1.228127241E0,2.383000031E2,1.700000048E0,1.050000000E1
1.060276270E2,4.299847500E1,-7.879147500E1,1.836045536E2,1.213714957E0,2.311100006E2,1.700000048E0,1.069999981E1
1.070276270E2,4.299847500E1,-7.879148667E1,1.835045566E2,1.211656094E0,2.565100098E2,1.700000048E0,1.080000019E1
1.080276270E2,4.299847500E1,-7.879149833E1,1.836045595E2,1.181802273E0,2.538200073E2,1.700000048E0,1.130000019E1
1.090276270E2,4.299847333E1,-7.879150667E1,1.837045574E2,1.169448853E0,2.481699982E2,1.700000048E0,1.080000019E1
1.100276270E2,4.299847167E1,-7.879151500E1,1.836045552E2,1.152977824E0,2.504499969E2,1.700000048E0,9.600000381E0
1.110276270E2,4.299847000E1,-7.879152000E1,1.835045522E2,1.069592834E0,2.516199951E2,1.700000048E0,9.600000381E0
1.120276270E2,4.299847000E1,-7.879152000E1,1.837045522E2,9.928991795E-1,2.525599976E2,1.600000024E0,9.399999619E0
1.130276270E2,4.299847000E1,-7.879152333E1,1.832045531E2,9.182644486E-1,2.514900055E2,1.600000024E0,9.399999619E0
1.140276270E2,4.299847333E1,-7.879152833E1,1.829045629E2,8.029666543E-1,2.517899933E2,1.600000024E0,9.000000000E0
1.150276270E2,4.299847333E1,-7.879153000E1,1.825045633E2,7.314202785E-1,2.474299927E2,1.500000000E0,9.300000191E0
1.160276270E2,4.299847500E1,-7.879153833E1,1.821045696E2,6.686241627E-1,2.486900024E2,1.500000000E0,9.100000381E0
1.170276270E2,4.299847333E1,-7.879154500E1,1.814045671E2,6.063427925E-1,2.497299957E2,1.500000000E0,9.199999809E0
1.180276270E2,4.299847167E1,-7.879155500E1,1.809045653E2,5.847244263E-1,2.583900146E2,1.500000000E0,9.500000000E0
1.190276270E2,4.299846833E1,-7.879156667E1,1.808045598E2,5.558999777E-1,2.466999969E2,1.500000000E0,9.500000000E0
1.200276270E2,4.299846667E1,-7.879157667E1,1.808045580E2,5.502380729E-1,2.548699951E2,1.600000024E0,8.899999619E0
1.210276270E2,4.299846500E1,-7.879158667E1,1.809045563E2,5.888422132E-1,2.687399902E2,1.600000024E0,9.000000000E0
1.220276270E2,4.299846333E1,-7.879160167E1,1.810045558E2,6.274464130E-1,2.771700134E2,1.600000024E0,8.699999809E0
1.230276270E2,4.299846667E1,-7.879161667E1,1.813045682E2,6.784039140E-1,2.900299988E2,1.600000024E0,8.699999809E0
1.240276270E2,4.299846833E1,-7.879163000E1,1.814045758E2,7.154638767E-1,2.895000000E2,1.600000024E0,9.300000191E0
1.250276270E2,4.299847333E1,-7.879164167E1,1.816045915E2,7.422294617E-1,3.276600037E2,1.600000024E0,9.399999619E0
