"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
3.110444383E0,-7.502199709E-2,6.435000151E-2,-7.942399979E-1
3.130488386E0,8.585800231E-2,-1.059210002E-1,-3.564879894E-1
3.150532176E0,1.542059928E-1,-1.506469995E-1,-1.843699962E-1
3.170576169E0,3.908000141E-2,-7.027599961E-2,-2.800860107E-1
3.190619901E0,1.077300031E-2,1.009500027E-2,-6.865109801E-1
3.210663914E0,-5.219899863E-2,2.886299975E-2,-3.351230025E-1
3.230707848E0,2.347799949E-2,-1.069500018E-2,-2.188069969E-1
3.250751618E0,9.079500288E-2,-1.086099967E-1,-2.548309863E-1
3.270795530E0,-1.982299984E-2,-4.296100140E-2,-4.913859963E-1
3.290839272E0,4.677699879E-2,-3.152399883E-2,-5.366489887E-1
3.310883202E0,-2.946799994E-2,-1.174100023E-2,-3.310430050E-1
3.330927183E0,-3.868800029E-2,-5.154000130E-3,-2.439610064E-1
3.350970955E0,-5.885300040E-2,1.650699973E-2,-2.556630075E-1
3.371014857E0,3.802900016E-2,-1.620000042E-2,-2.303429991E-1
3.391058618E0,-8.994000033E-3,2.812400088E-2,-3.141539991E-1
3.411102534E0,1.182959974E-1,-6.765600294E-2,-2.737599909E-1
3.431146305E0,4.356199875E-2,-4.834600165E-2,-2.855499983E-1
3.451190207E0,4.323400185E-2,-9.759800136E-2,-1.029080003E-1
3.471234222E0,7.139799744E-2,-1.065440029E-1,-1.323769987E-1
3.491277998E0,3.915100172E-2,-2.071700059E-2,-4.932860136E-1
3.511321914E0,-4.664999992E-2,5.538300052E-2,-5.017619729E-1
3.531365685E0,-2.704700083E-2,7.459700108E-2,-4.325000048E-1
3.551409688E0,8.822999895E-3,-1.330500003E-2,-1.438689977E-1
3.571453627E0,3.464699909E-2,-1.071140021E-1,2.229700051E-2
3.591497368E0,2.297100052E-2,-9.912800044E-2,-2.336400002E-2
3.611541303E0,-1.916299947E-2,4.931999836E-3,-2.072400004E-1
3.631585050E0,-3.170699999E-2,4.698200151E-2,-2.698259950E-1
3.651628986E0,3.344900161E-2,4.173099995E-2,-1.910379976E-1
3.671672741E0,1.588999992E-3,3.142099828E-2,-7.858800143E-2
3.691716735E0,7.654800266E-2,-3.455499932E-2,-1.303970069E-1
3.711760444E0,-4.164800048E-2,1.528299972E-2,-2.853569984E-1
3.731804432E0,-4.953800142E-2,5.793099850E-2,-1.438360065E-1
3.751848357E0,-6.276600063E-2,6.023000181E-2,4.039900005E-2
3.771892145E0,8.213999681E-3,9.114000015E-3,-2.889000112E-3
3.791936066E0,2.257899940E-2,7.837999612E-3,-6.131799892E-2
3.811980066E0,-8.204600215E-2,7.539500296E-2,-2.365459949E-1
3.832023824E0,-7.686199993E-2,2.199300006E-2,-2.280399948E-1
3.852067730E0,1.256279945E-1,-1.447689980E-1,8.104299754E-2
3.872111506E0,3.180199862E-2,-7.410000265E-2,1.663899980E-2
3.892155427E0,2.095000073E-2,-7.880999893E-2,-8.707600087E-2
3.912199228E0,3.916199878E-2,-9.162999690E-3,-1.137560010E-1
3.932243226E0,-1.026600003E-1,7.796200365E-2,5.228099972E-2
3.952287180E0,8.937299997E-2,-1.008900031E-1,2.347089946E-1
3.972330953E0,4.777099937E-2,-1.400479972E-1,3.518880010E-1
3.992374870E0,1.256249994E-1,-9.106200188E-2,1.885139942E-1
4.012418665E0,-6.564199924E-2,6.906499714E-2,4.563400149E-2
4.032462582E0,-7.758200169E-2,8.831200004E-2,1.189310029E-1
4.052506362E0,-6.401000172E-2,1.266690046E-1,1.127099991E-2
4.072550341E0,-4.808700085E-2,1.337549984E-1,-1.706079990E-1
4.092594252E0,-9.229400009E-2,5.666000023E-2,-7.726799697E-2
4.112638006E0,-1.151790023E-1,6.148200110E-2,1.097690016E-1
4.132681908E0,1.685699970E-1,-1.069350019E-1,1.590179950E-1
4.152725694E0,-1.565000042E-3,-5.838099867E-2,8.544799685E-2
4.172769625E0,-6.363900006E-2,-3.017199971E-2,2.302819937E-1
4.192813606E0,-1.050100010E-2,-1.148329973E-1,3.103139997E-1
4.212857372E0,8.064900339E-2,-1.303180009E-1,1.347060055E-1
4.232901297E0,3.411100060E-2,-1.200699992E-2,-2.330670059E-1
4.252945069E0,2.491199970E-2,5.693100020E-2,-3.545320034E-1
4.272988961E0,3.449400142E-2,5.378999934E-2,-1.535730064E-1
4.293032747E0,4.385900125E-2,-3.809700161E-2,1.745550036E-1
4.313076673E0,-2.324499935E-2,-1.179100014E-2,1.206300035E-1
4.333120653E0,-1.855799928E-2,7.963000238E-2,-1.767950058E-1
4.353164419E0,-6.701999903E-2,1.019539982E-1,-5.631799996E-2
4.373208441E0,-6.679599732E-2,7.207500190E-2,2.383839935E-1
4.393252372E0,4.112000111E-3,-2.314100042E-2,2.745009959E-1
4.413296155E0,-5.498399958E-2,-2.203500085E-2,1.314260066E-1
4.433340076E0,-1.162030026E-1,2.178400010E-2,7.868999988E-2
4.453383867E0,3.907899931E-2,-4.898599908E-2,1.205490008E-1
4.473427797E0,8.243100345E-2,-8.781900257E-2,2.843699977E-2
4.493471588E0,8.623000234E-2,-6.430699676E-2,-1.467279941E-1
4.513515509E0,5.608800054E-2,-1.461800002E-2,-3.123730123E-1
4.533559509E0,6.205999851E-2,-1.110000012E-4,-1.528680027E-1
4.553603285E0,4.310400039E-2,1.363299973E-2,-1.929900050E-2
4.573647220E0,-4.430799931E-2,5.962200090E-2,-1.132600009E-2
4.593691254E0,-9.708999842E-2,1.380839944E-1,8.459299803E-2
4.613735012E0,-2.035519928E-1,1.597039998E-1,4.568099976E-2
4.633778948E0,2.456899919E-2,5.228000227E-3,-1.602450013E-1
4.653822714E0,3.073699959E-2,-7.396200299E-2,3.067019880E-1
4.673866640E0,7.275699824E-2,-1.218400002E-1,2.756620049E-1
4.693910391E0,8.775400370E-2,-1.032069996E-1,7.743900269E-2
4.713954399E0,3.470100090E-2,-3.285200149E-2,1.124980003E-1
4.733998330E0,1.268399972E-2,1.881100051E-2,7.637999952E-2
4.754042113E0,1.620600000E-2,5.466299877E-2,6.996399909E-2
4.774086111E0,-5.361299962E-2,9.731599689E-2,-8.571600169E-2
4.794129796E0,-5.820799991E-2,1.053880006E-1,-2.375990003E-1
4.814173779E0,6.626600027E-2,1.288700011E-2,-1.479899976E-2
4.834217723E0,-3.814699873E-2,-1.536200009E-2,3.143360019E-1
4.854261484E0,5.315999966E-3,-2.372599952E-2,1.857050061E-1
4.874305462E0,-1.336099952E-1,7.175099850E-2,4.778999835E-3
4.894349156E0,-7.833199948E-2,4.376399890E-2,-9.147999808E-3
4.914393150E0,5.200500041E-2,-3.086199984E-2,5.778900161E-2
4.934437074E0,-1.925200038E-2,-1.778700016E-2,-1.437100023E-2
4.954480829E0,-9.500999935E-3,-3.470100090E-2,-2.951399982E-2
4.974524769E0,6.661400199E-2,-6.205200031E-2,3.521599993E-2
4.994568545E0,-2.342000045E-2,-1.249899995E-2,-1.634179950E-1
5.014612557E0,4.064499959E-2,-2.681099996E-2,4.569000006E-2
5.034656487E0,1.468569934E-1,-1.261570007E-1,2.513779998E-1
5.054700251E0,7.669100165E-2,-5.649000034E-2,1.567510068E-1
5.074744244E0,6.814000197E-3,2.104100026E-2,3.075999953E-2
5.094787939E0,-5.626399815E-2,8.673600107E-2,-6.801900268E-2
5.114831942E0,-1.126130000E-1,1.350409985E-1,-6.181599945E-2
5.134875853E0,-9.325000457E-3,2.915100008E-2,6.817000359E-2
5.154919612E0,-5.005899817E-2,1.476099994E-2,2.124059945E-1
5.174963533E0,-1.674409956E-1,4.046500102E-2,1.287530065E-1
5.195007547E0,1.444090009E-1,-9.124200046E-2,5.271799862E-2
