"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.901585702E0,1.850399934E-2,1.448599994E-2,-5.494299904E-2
4.921629394E0,4.217999987E-3,2.659500018E-2,2.155400068E-2
4.941673082E0,3.232999891E-2,-6.146200001E-2,1.191319972E-1
4.961716769E0,4.178300127E-2,-8.412399888E-2,1.067619994E-1
4.981760447E0,-4.221399873E-2,1.728600077E-2,-1.320999954E-2
5.001804169E0,1.479899976E-2,4.447999876E-3,-7.309799641E-2
5.021847875E0,-2.245399915E-2,2.901300043E-2,-5.624600127E-2
5.041891503E0,-1.015099976E-2,6.810999941E-3,8.494000137E-2
5.061935270E0,-2.422000049E-3,-1.289799996E-2,1.016269997E-1
5.081978901E0,-2.705899999E-2,2.873199992E-2,7.278800011E-2
5.102022597E0,1.567500085E-2,-1.078800019E-2,8.709499985E-2
5.122066303E0,-2.722200006E-2,1.576999947E-2,1.923349947E-1
5.142109995E0,-1.553099975E-2,2.210599929E-2,1.254840046E-1
5.162153679E0,7.888000458E-3,3.988499939E-2,-1.296299975E-2
5.182197351E0,-3.831600025E-2,5.920799822E-2,1.813600026E-2
5.202241043E0,2.864200063E-2,-3.116000071E-2,1.115920022E-1
5.222284736E0,-1.497900020E-2,-3.190299869E-2,7.761400193E-2
5.242328438E0,1.151600014E-2,-3.961399943E-2,5.791499838E-2
5.262371907E0,-1.749799959E-2,-2.156200074E-2,6.204900146E-2
5.282415602E0,8.395399898E-2,-2.280399948E-2,1.121340021E-1
5.302459303E0,-1.593099907E-2,6.356699765E-2,1.682900079E-2
5.322502953E0,-8.158700168E-2,8.633700013E-2,-8.540099859E-2
5.342546649E0,1.836499944E-2,2.423699945E-2,-2.028699964E-2
5.362590361E0,2.309999894E-3,-2.740599960E-2,-1.553600002E-2
5.382634068E0,-1.348400023E-2,-5.228599906E-2,8.951299638E-2
5.402677760E0,-6.526300311E-2,-6.096899882E-2,6.791599840E-2
5.422721364E0,-7.385999709E-2,2.851800062E-2,-7.046400011E-2
5.442765131E0,8.410000009E-4,2.367400005E-2,-1.536629945E-1
5.462808829E0,-3.934799880E-2,4.493999854E-2,-1.260000002E-2
5.482852455E0,3.412299976E-2,-2.061299980E-2,2.481790036E-1
5.502896154E0,1.104300003E-2,-4.404599965E-2,2.815349996E-1
5.522939614E0,4.804399982E-2,-1.808100007E-2,8.042299747E-2
5.542983549E0,4.742300138E-2,2.056100033E-2,-4.162599891E-2
5.563027229E0,-8.139999583E-3,5.476399884E-2,1.389699988E-2
5.583070681E0,-6.957999896E-3,2.362100035E-2,-2.611099929E-2
5.603114597E0,-3.949699923E-2,3.052200004E-2,-4.497500136E-2
