"Time (s)","Pressure (hPa)"
8.365888796E1,9.976971436E2
8.369888755E1,9.976955566E2
8.373889599E1,9.977146606E2
8.377889276E1,9.976913452E2
8.381890151E1,9.977044678E2
8.385889682E1,9.976773071E2
8.389889359E1,9.976815186E2
8.393890015E1,9.976655884E2
8.397889713E1,9.976713257E2
8.401888692E1,9.976749268E2
8.405889276E1,9.976840210E2
8.409888630E1,9.976693115E2
8.413888640E1,9.976852417E2
8.417889734E1,9.976938477E2
8.421888750E1,9.976966553E2
8.425889338E1,9.976929321E2
8.429889890E1,9.977021484E2
8.433888838E1,9.976924438E2
8.437889484E1,9.976922607E2
8.441890026E1,9.976851196E2
8.445888588E1,9.976851196E2
8.449888583E1,9.976771240E2
8.453888625E1,9.976827393E2
8.457888317E1,9.976876221E2
8.461888817E1,9.976983643E2
8.465888416E1,9.976893311E2
8.469889328E1,9.977185669E2
8.473890411E1,9.977029419E2
8.477891088E1,9.976843262E2
8.481889390E1,9.976907349E2
8.485889515E1,9.977004395E2
8.489889776E1,9.976827393E2
8.493890651E1,9.976804199E2
8.497890359E1,9.976815186E2
8.501889484E1,9.976614990E2
8.505889765E1,9.976652832E2
8.509889567E1,9.976690063E2
8.513890088E1,9.976852417E2
8.517890682E1,9.976760254E2
8.521891932E1,9.976887207E2
8.525889916E1,9.977068481E2
8.529888640E1,9.976885376E2
8.533888583E1,9.976905518E2
8.537889088E1,9.976691895E2
8.541890776E1,9.976735229E2
8.545889088E1,9.976672974E2
8.549888640E1,9.976807251E2
8.553888474E1,9.976961670E2
8.557888140E1,9.976791382E2
8.561888390E1,9.977013550E2
8.565888463E1,9.976898193E2
8.569889119E1,9.976957397E2
8.573888890E1,9.976910400E2
8.577889625E1,9.976982422E2
8.581889130E1,9.976622925E2
8.585890672E1,9.976830444E2
8.589889234E1,9.976829224E2
8.593889140E1,9.976908569E2
8.597888942E1,9.976751099E2
8.601888338E1,9.976852417E2
8.605887213E1,9.976787109E2
8.609890390E1,9.976824341E2
8.613889807E1,9.976818237E2
8.617889599E1,9.976887207E2
8.621891213E1,9.977002563E2
8.625888422E1,9.976933594E2
8.629889880E1,9.976840210E2
8.633889515E1,9.976846313E2
8.637889432E1,9.976699219E2
8.641890015E1,9.976777344E2
8.645888192E1,9.976837158E2
8.649887880E1,9.976779175E2
8.653889088E1,9.976627808E2
8.657889651E1,9.976719971E2
8.661891932E1,9.976721191E2
8.665891442E1,9.976854248E2
8.669892422E1,9.976704102E2
8.673890432E1,9.976823120E2
8.677888046E1,9.976994629E2
8.681891692E1,9.976985474E2
8.685892265E1,9.976734009E2
8.689890958E1,9.976899414E2
8.693890666E1,9.976795044E2
8.697892567E1,9.976591797E2
8.701891724E1,9.976629028E2
8.705892213E1,9.976472778E2
8.709890338E1,9.976618042E2
8.713891208E1,9.976835327E2
8.717891333E1,9.976787109E2
8.721892588E1,9.976713257E2
8.725891026E1,9.976824341E2
8.729891682E1,9.976927490E2
8.733892359E1,9.976696167E2
8.737893119E1,9.976854248E2
8.741891130E1,9.976768188E2
8.745890172E1,9.976697998E2
8.749891541E1,9.976624756E2
