"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
3.265809794E1,4.300864481E1,-7.878471481E1,1.871270194E2,1.600000024E0,3.337000122E2,3.790092468E0,2.500000000E0
3.365798523E1,4.300865834E1,-7.878472369E1,1.873663649E2,1.610000014E0,3.317000122E2,3.790092468E0,2.500000000E0
3.465794158E1,4.300867178E1,-7.878473302E1,1.874235815E2,1.620000005E0,3.303999939E2,3.790092468E0,2.500000000E0
3.565783803E1,4.300868496E1,-7.878474322E1,1.877674799E2,1.639999986E0,3.298999939E2,3.790092468E0,2.500000000E0
3.665759678E1,4.300869730E1,-7.878475433E1,1.882568238E2,1.649999976E0,3.285000000E2,3.790092468E0,2.500000000E0
3.765755219E1,4.300870989E1,-7.878476568E1,1.888115368E2,1.639999986E0,3.257000122E2,3.790092468E0,2.500000000E0
3.865768198E1,4.300872126E1,-7.878477888E1,1.890409307E2,1.629999995E0,3.188999939E2,3.790092468E0,2.500000000E0
3.965760770E1,4.300873071E1,-7.878479450E1,1.890932588E2,1.629999995E0,3.116000061E2,3.790092468E0,2.500000000E0
4.065802629E1,4.300873871E1,-7.878481142E1,1.893438878E2,1.639999986E0,3.052000122E2,3.790092468E0,2.500000000E0
4.165755488E1,4.300874584E1,-7.878482910E1,1.893641688E2,1.590000033E0,3.040000000E2,3.790092468E0,2.500000000E0
4.265797800E1,4.300875393E1,-7.878484577E1,1.893566192E2,1.679999948E0,3.096000061E2,3.790092468E0,2.500000000E0
4.365788409E1,4.300876192E1,-7.878486364E1,1.894920140E2,1.690000057E0,3.087999878E2,3.790092468E0,2.500000000E0
4.465784122E1,4.300876932E1,-7.878488153E1,1.896211822E2,1.629999995E0,3.075000000E2,3.790092468E0,2.500000000E0
4.565777570E1,4.300877703E1,-7.878489908E1,1.894081878E2,1.669999957E0,3.052000122E2,3.790092468E0,2.500000000E0
4.665782653E1,4.300878496E1,-7.878491700E1,1.898488804E2,1.679999948E0,3.056000061E2,3.790092468E0,2.500000000E0
4.765796501E1,4.300879253E1,-7.878493529E1,1.895769870E2,1.679999948E0,3.018999939E2,3.790092468E0,2.500000000E0
4.865798146E1,4.300879788E1,-7.878495487E1,1.893187008E2,1.659999967E0,2.927000122E2,3.790092468E0,2.500000000E0
4.965717458E1,4.300880101E1,-7.878497573E1,1.892980817E2,1.690000057E0,2.852999878E2,3.790092468E0,2.500000000E0
5.065808333E1,4.300880191E1,-7.878499694E1,1.895551077E2,1.659999967E0,2.802000122E2,3.790092468E0,2.500000000E0
5.165805645E1,4.300880158E1,-7.878501898E1,1.900692117E2,1.669999957E0,2.772999878E2,3.790092468E0,2.500000000E0
5.265762650E1,4.300879972E1,-7.878504094E1,1.905139770E2,1.610000014E0,2.732000122E2,3.790092468E0,2.500000000E0
5.365764264E1,4.300879576E1,-7.878506356E1,1.911810287E2,1.690000057E0,2.670000000E2,3.790092468E0,2.500000000E0
5.465802034E1,4.300879033E1,-7.878508523E1,1.914168031E2,1.679999948E0,2.592999878E2,3.790092468E0,2.500000000E0
5.565796138E1,4.300878302E1,-7.878510451E1,1.924702615E2,1.669999957E0,2.521999969E2,3.790092468E0,2.500000000E0
5.665662012E1,4.300877476E1,-7.878512382E1,1.934480346E2,1.659999967E0,2.483000031E2,3.790092468E0,2.500000000E0
5.765659278E1,4.300876356E1,-7.878514092E1,1.932892662E2,1.669999957E0,2.393999939E2,3.790092468E0,2.500000000E0
5.865618986E1,4.300875018E1,-7.878515559E1,1.931220704E2,1.629999995E0,2.331999969E2,3.790092468E0,2.500000000E0
5.965671141E1,4.300873566E1,-7.878516905E1,1.929318009E2,1.600000024E0,2.261000061E2,3.790092468E0,2.500000000E0
6.065620823E1,4.300871983E1,-7.878518217E1,1.930324836E2,1.659999967E0,2.250000000E2,3.790092468E0,2.500000000E0
6.165666458E1,4.300870482E1,-7.878519535E1,1.927632947E2,1.629999995E0,2.240000000E2,3.790092468E0,2.500000000E0
6.265678572E1,4.300869002E1,-7.878520766E1,1.924266622E2,1.580000043E0,2.220000000E2,3.790092468E0,2.500000000E0
6.365660504E1,4.300867670E1,-7.878522009E1,1.918505304E2,1.590000033E0,2.218000031E2,3.790092468E0,2.500000000E0
6.465646316E1,4.300866373E1,-7.878523063E1,1.915100555E2,1.539999962E0,2.193000031E2,3.790092468E0,2.500000000E0
6.565665389E1,4.300865046E1,-7.878524225E1,1.915895633E2,1.659999967E0,2.201000061E2,3.790092468E0,2.500000000E0
6.665667675E1,4.300863705E1,-7.878525427E1,1.913087803E2,1.610000014E0,2.171999969E2,3.790092468E0,2.500000000E0
6.765657888E1,4.300862349E1,-7.878526646E1,1.913620426E2,1.580000043E0,2.153999939E2,3.790092468E0,2.500000000E0
6.865650174E1,4.300861002E1,-7.878527761E1,1.913392549E2,1.590000033E0,2.115000000E2,3.790092468E0,2.500000000E0
